longitude,latitude
27.0016,48.3814
27.0451,48.3699
27.0451,48.3699
27.0886,48.3584
27.1321,48.3468
27.1756,48.3352
27.1756,48.3352
27.2190,48.3236
27.2625,48.3120
27.2625,48.3120
27.3059,48.3003
27.3493,48.2887
27.3926,48.2770
27.3926,48.2770
27.4360,48.2653
27.4793,48.2536
27.5226,48.2419
27.5226,48.2419
27.5659,48.2301
27.6091,48.2183
27.6524,48.2066
27.6524,48.2066
27.6956,48.1948
27.7388,48.1829
27.7820,48.1711
27.7820,48.1711
27.8251,48.1592
27.8682,48.1474
27.9113,48.1355
27.9113,48.1355
27.9544,48.1236
27.9975,48.1116
28.0405,48.0997
28.0405,48.0997
28.0835,48.0877
28.1265,48.0758
28.1695,48.0638
28.1695,48.0638
28.2125,48.0518
28.2554,48.0397
28.2554,48.0397
28.2983,48.0277
28.3412,48.0156
28.3841,48.0035
28.3841,48.0035
28.4270,47.9914
28.4698,47.9793
28.5127,47.9672
28.5127,47.9672
28.5554,47.9550
28.5982,47.9428
28.6410,47.9307
28.6410,47.9307
28.6837,47.9184
28.7264,47.9062
28.7691,47.8940
28.7691,47.8940
28.8118,47.8817
28.8544,47.8694
28.8970,47.8571
28.8970,47.8571
28.9397,47.8448
28.9822,47.8325
29.0248,47.8202
29.0248,47.8202
29.0673,47.8078
29.1098,47.7954
29.1098,47.7954
29.1523,47.7830
29.1948,47.7706
29.2373,47.7582
29.2373,47.7582
29.2797,47.7457
29.3221,47.7333
29.3645,47.7208
29.3645,47.7208
29.4068,47.7083
29.4491,47.6958
29.4915,47.6832
29.4915,47.6832
29.5338,47.6707
29.5761,47.6581
29.6183,47.6455
29.6183,47.6455
29.6606,47.6329
29.7028,47.6203
29.7450,47.6077
29.7450,47.6077
29.7872,47.5950
29.8293,47.5823
29.8715,47.5696
29.8715,47.5696
29.9136,47.5569
29.9556,47.5442
29.9556,47.5442
29.9977,47.5315
30.0397,47.5187
30.0818,47.5060
30.0818,47.5060
30.1238,47.4932
30.1657,47.4804
30.2077,47.4675
30.2077,47.4675
30.2497,47.4547
30.2916,47.4418
30.3335,47.4289
30.3335,47.4289
30.3754,47.4160
30.4172,47.4031
30.4591,47.3902
30.4591,47.3902
30.5009,47.3773
30.5427,47.3643
30.5844,47.3513
30.5844,47.3513
30.6262,47.3383
30.6679,47.3253
30.6679,47.3253
30.7096,47.3123
30.7513,47.2993
30.7929,47.2862
30.7929,47.2862
30.8346,47.2731
30.8762,47.2600
30.9178,47.2469
30.9178,47.2469
30.9593,47.2338
31.0009,47.2207
31.0424,47.2075
31.0424,47.2075
31.0839,47.1943
31.1254,47.1811
31.1669,47.1679
31.1669,47.1679
31.2083,47.1547
31.2497,47.1415
31.2497,47.1415
31.2911,47.1282
31.3325,47.1149
31.3739,47.1016
31.3739,47.1016
31.4152,47.0883
31.4566,47.0750
31.4979,47.0616
31.4979,47.0616
31.5391,47.0483
31.5804,47.0349
31.6216,47.0215
31.6216,47.0215
31.6628,47.0081
31.7040,46.9947
31.7451,46.9812
31.7451,46.9812
31.7863,46.9678
31.8274,46.9543
31.8685,46.9408
31.8685,46.9408
31.9096,46.9273
31.9506,46.9138
31.9917,46.9003
31.9917,46.9003
32.0327,46.8867
32.0737,46.8731
32.1146,46.8595
32.1146,46.8595
32.1556,46.8459
32.1965,46.8323
32.1965,46.8323
32.2374,46.8187
32.2783,46.8050
32.3192,46.7914
32.3192,46.7914
32.3600,46.7777
32.4008,46.7640
32.4416,46.7503
32.4416,46.7503
32.4824,46.7365
32.5231,46.7228
32.5638,46.7090
32.5638,46.7090
32.6045,46.6953
32.6452,46.6815
32.6858,46.6677
32.6858,46.6677
32.7265,46.6538
32.7671,46.6400
32.8077,46.6261
32.8077,46.6261
32.8482,46.6123
32.8888,46.5984
32.8888,46.5984
32.9293,46.5845
32.9699,46.5705
33.0103,46.5566
33.0103,46.5566
33.0508,46.5426
33.0913,46.5287
33.1317,46.5147
33.1317,46.5147
33.1720,46.5007
33.2124,46.4867
33.2528,46.4726
33.2528,46.4726
33.2931,46.4586
33.3334,46.4445
33.3737,46.4305
33.3737,46.4305
33.4140,46.4163
33.4543,46.4022
33.4945,46.3881
33.4945,46.3881
33.5347,46.3740
33.5748,46.3598
33.5748,46.3598
33.6150,46.3457
33.6551,46.3315
33.6952,46.3173
33.6952,46.3173
33.7353,46.3030
33.7754,46.2888
33.8154,46.2745
33.8154,46.2745
33.8555,46.2603
33.8955,46.2460
33.9354,46.2317
33.9354,46.2317
33.9754,46.2174
34.0154,46.2030
34.0553,46.1887
34.0553,46.1887
34.0952,46.1743
34.1350,46.1600
34.1749,46.1456
34.1749,46.1456
34.2147,46.1312
34.2545,46.1168
34.2943,46.1023
34.2943,46.1023
34.3340,46.0879
34.3738,46.0734
34.3738,46.0734
34.4134,46.0590
34.4531,46.0444
34.4928,46.0299
34.4928,46.0299
34.5325,46.0154
34.5722,46.0008
34.6118,45.9863
34.6118,45.9863
34.6514,45.9717
34.6909,45.9571
34.7305,45.9425
34.7305,45.9425
34.7700,45.9279
34.8095,45.9132
34.8490,45.8986
34.8490,45.8986
34.8885,45.8839
34.9279,45.8692
34.9674,45.8545
34.9674,45.8545
35.0068,45.8398
35.0461,45.8251
35.0854,45.8104
35.0854,45.8104
35.1248,45.7956
35.1641,45.7808
35.1641,45.7808
35.2034,45.7661
35.2426,45.7513
35.2818,45.7364
35.2818,45.7364
35.3211,45.7216
35.3602,45.7068
35.3994,45.6919
35.3994,45.6919
35.4385,45.6771
35.4776,45.6622
35.5167,45.6473
35.5167,45.6473
35.5558,45.6324
35.5948,45.6174
35.6339,45.6025
35.6339,45.6025
35.6729,45.5875
35.7119,45.5726
35.7508,45.5576
35.7508,45.5576
35.7898,45.5426
35.8287,45.5275
35.8676,45.5125
35.8676,45.5125
35.9065,45.4975
35.9454,45.4824
35.9842,45.4673
35.9842,45.4673
36.0230,45.4522
36.0618,45.4371
36.0618,45.4371
36.1006,45.4220
36.1393,45.4068
36.1780,45.3917
36.1780,45.3917
36.2167,45.3765
36.2554,45.3613
36.2941,45.3461
36.2941,45.3461
36.3327,45.3309
36.3714,45.3157
36.4100,45.3005
36.4100,45.3005
36.4485,45.2852
36.4871,45.2700
36.5256,45.2547
36.5256,45.2547
36.5641,45.2394
36.6026,45.2241
36.6411,45.2087
36.6411,45.2087
36.6795,45.1934
36.7179,45.1780
36.7563,45.1627
36.7563,45.1627
36.7947,45.1473
36.8330,45.1319
36.8330,45.1319
36.8714,45.1165
36.9097,45.1011
36.9480,45.0856
36.9480,45.0856
36.9863,45.0702
37.0245,45.0547
37.0627,45.0392
37.0627,45.0392
37.1009,45.0237
37.1391,45.0082
37.1773,44.9927
37.1773,44.9927
37.2154,44.9771
37.2535,44.9616
37.2916,44.9460
37.2916,44.9460
37.3297,44.9304
37.3677,44.9149
37.4057,44.8992
37.4057,44.8992
37.4437,44.8836
37.4817,44.8680
37.5197,44.8523
37.5197,44.8523
37.5576,44.8367
37.5955,44.8210
37.5955,44.8210
37.6335,44.8053
37.6713,44.7896
37.7092,44.7739
37.7092,44.7739
37.7470,44.7581
37.7848,44.7424
37.8226,44.7266
37.8226,44.7266
37.8603,44.7109
37.8981,44.6951
37.9358,44.6793
37.9358,44.6793
37.9735,44.6634
38.0112,44.6476
38.0488,44.6318
38.0488,44.6318
38.0865,44.6159
38.1241,44.6000
38.1617,44.5841
38.1617,44.5841
38.1992,44.5682
38.2368,44.5523
38.2744,44.5364
38.2744,44.5364
38.3119,44.5204
38.3494,44.5045
38.3494,44.5045
38.3868,44.4885
38.4243,44.4725
38.4617,44.4565
38.4617,44.4565
38.4991,44.4405
38.5365,44.4245
38.5739,44.4084
38.5739,44.4084
38.6112,44.3924
38.6485,44.3763
38.6858,44.3602
38.6858,44.3602
38.7231,44.3441
38.7603,44.3280
38.7975,44.3119
38.7975,44.3119
38.8347,44.2958
38.8719,44.2796
38.9090,44.2635
38.9090,44.2635
38.9462,44.2473
38.9833,44.2311
39.0204,44.2149
39.0204,44.2149
39.0574,44.1987
39.0945,44.1825
39.0945,44.1825
39.1315,44.1662
39.1685,44.1500
39.2055,44.1337
39.2055,44.1337
39.2425,44.1174
39.2794,44.1011
39.3163,44.0848
39.3163,44.0848
39.3532,44.0685
39.3901,44.0522
39.4270,44.0358
39.4270,44.0358
39.4638,44.0195
39.5006,44.0031
39.5374,43.9867
39.5374,43.9867
39.5742,43.9703
39.6110,43.9539
39.6477,43.9375
39.6477,43.9375
39.6844,43.9210
39.7211,43.9046
39.7577,43.8881
39.7577,43.8881
39.7944,43.8716
39.8310,43.8551
39.8676,43.8386
39.8676,43.8386
39.9041,43.8221
39.9407,43.8056
39.9407,43.8056
39.9772,43.7891
40.0137,43.7725
40.0502,43.7559
40.0502,43.7559
40.0867,43.7393
40.1231,43.7227
40.1596,43.7061
40.1596,43.7061
40.1960,43.6895
40.2324,43.6729
40.2687,43.6562
40.2687,43.6562
40.3051,43.6396
40.3414,43.6229
40.3777,43.6062
40.3777,43.6062
40.4139,43.5895
40.4502,43.5728
40.4864,43.5561
40.4864,43.5561
40.5226,43.5394
40.5588,43.5226
40.5588,43.5226
40.5950,43.5058
40.6312,43.4891
40.6673,43.4723
40.6673,43.4723
40.7034,43.4555
40.7395,43.4387
40.7755,43.4218
40.7755,43.4218
40.8116,43.4050
40.8476,43.3881
40.8836,43.3713
40.8836,43.3713
40.9196,43.3544
40.9556,43.3375
40.9915,43.3206
40.9915,43.3206
41.0275,43.3037
41.0633,43.2867
41.0992,43.2698
41.0992,43.2698
41.1351,43.2528
41.1709,43.2359
41.1709,43.2359
41.2067,43.2189
41.2425,43.2019
41.2782,43.1849
41.2782,43.1849
41.3140,43.1679
41.3497,43.1509
41.3854,43.1338
41.3854,43.1338
41.4211,43.1168
41.4568,43.0997
